place_id,name,category,address,operation_time,homepage,tel,tag,etc,facility,num_of_comments,avg_rate,url,weighted_rate,img
2397,수정,['술집'],"부산 중구 대영로 223-1  (우)48911",[],,051-468-0133,[],,[],0,0.0,https://place.map.kakao.com/935143362,0.4217146423206878936,NULL
3099,안다미로,['한식'],"부산 서구 동대로19번길 32  (우)49201",[],,,['#제로페이'],,[],0,0.0,https://place.map.kakao.com/1393520015,0.0000000000000000000,NULL
4244,해녀촌,"['해물', '생선']","부산 서구 송도해변로 10-9  (우)49275",[],,051-231-0959,[],,[],0,0.0,https://place.map.kakao.com/1898851736,0.0000000000000000000,NULL
6170,팔금산,['회'],"부산 영도구 태종로95번길 6  (우)49036",[],,051-412-8278,['#노포'],,[],3,5.0,https://place.map.kakao.com/15727380,0.0067204860425613003,NULL
6241,나무섬,['회'],"부산 영도구 절영로35번길 46  (우)49053",[],,051-418-0121,[],,[],1,5.0,https://place.map.kakao.com/18644483,0.0127675964804441003,NULL
7726,오륙도,['음식점'],"부산 영도구 감지해변길 81  (우)49127",[],,,['#제로페이'],,[],0,0.0,https://place.map.kakao.com/2095380280,0.1427745759599977904,NULL
16827,장산,['곰탕'],"부산 동래구 안락로 11  (우)47782",[],,051-528-7799,[],,[],3,3.7,https://place.map.kakao.com/2001521409,0.1345284889485660052,NULL
19401,용소천,"['매운탕', '해물탕']","부산 남구 용호로110번길 10  (우)48524",[],,051-628-9951,['#제로페이'],,[],0,0.0,https://place.map.kakao.com/21333787,0.0000000000000000000,NULL
19475,해월정,['삼겹살'],"부산 남구 동명로131번길 17-1  (우)48527",[],,051-624-5690,[],,[],1,5.0,https://place.map.kakao.com/1676681307,0.0167901487083366996,NULL
21313,낙동강,['술집'],"부산 북구 시랑로 9-1  (우)46600",[],,,['#제로페이'],,[],0,0.0,https://place.map.kakao.com/711913094,0.0000000000000000000,NULL
21470,백양산,['삼겹살'],"부산 북구 백양대로 1009  (우)46650",[],,051-343-5992,[],,[],0,0.0,https://place.map.kakao.com/2107844074,0.0127675964804441003,NULL
